address,latitude,longitude
2205 RIVER GREEN DR NW,33.86386,-84.4489
618 BOULEVARD NE,33.77145,-84.37209
492 LARKIN ST SW,33.7476,-84.4037
571 LOVEJOY ST NW,33.76747,-84.39293
3495 PIEDMONT RD,33.85204,-84.37576
3815 MARTIN L KING JR DR NW,33.76867,-84.51363
337 FAIRBURN RD NW,33.76438,-84.50067
865 ERIN AVE SW,33.7195,-84.41649
21 HOLLY DOWNS CT NW,33.78492,-84.3963
208 REINHARDT ST SE,33.74897,-84.36848
718 10TH ST NW,33.78148,-84.41101
481 CENTENNIAL OLYMPIC P DR NW,33.76757,-84.39162
3015 JONESBORO RD SE,33.67229,-84.37254
929 NEAL ST NW,33.76657,-84.41791
3398 PIEDMONT RD NE,33.84712,-84.37385
914 PULLIAM ST SW,33.72936,-84.392
803 NOBLE CREEK DR NW,33.81438,-84.42407
92 WADDELL,33.75666,-84.36348
914 MERCURY DR NW,33.77931,-84.50913
357 EDGEWOOD AVE SE,33.75417,-84.37595
265 PEACHTREE CENTER AVE NE @MARIOTT,33.76158,-84.38496
1575 MORELAND AVE SE,33.7118,-84.35004
3030 HEADLAND DR SW;,33.68841,-84.48742
3404 NORTHSIDE PKWY NW,33.84961,-84.43025
224 BASS ST SW,33.73552,-84.39532
1212 HIGHTOWER RD NW,33.78826,-84.47064
972 DONNELLY AVE SW,33.72834,-84.4198
356 PICKFAIR AVE SW,33.70369,-84.40114
28 HOWELL ST NE,33.7551,-84.36992
16 VANIRA AVE SE,33.72951,-84.38735
313 N HIGHLAND AVE NE,33.76303,-84.35766
1249 DONALD LEE HOLLOWELL PKWY NW,33.77197,-84.42859
1115 GREENHAVEN DR SE,33.74137,-84.31122
I-20 EB EXPY SW / WESTVIEW DR SW,33.74744,-84.43928
1730 TAYLOR ST NW,33.80171,-84.42123
745 TRABERT AVE NW,33.79554,-84.41241
208 10TH ST NE,33.78186,-84.38077
127 BROWN AVE SE,33.7138,-84.38405
840 CHEROKEE AVE SE,33.73166,-84.37352
282 CHAPPELL RD NW,33.76317,-84.43303
1117 EUCLID AVE NE,33.76427,-84.35022
3012 JONESBORO RD SE,33.67225,-84.37156
385 HOLLY ST NW,33.76542,-84.43728
2231 CAMPBELLTON RD SW @ADAMS PARK BRANCH,33.70573,-84.46168
215 E COURT DR SW,33.73114,-84.53091
933 OAK ST SW,33.73965,-84.41866
2096 METROPOLITAN PKWY SW,33.69749,-84.40772
733 DONALD LEE HOLLOWELL PKWY NW,33.77333,-84.41125
1634 DERRY AVE SW,33.74327,-84.44122
3649 PEACHTREE RD,33.75267,-84.43748
650 PONCE DE LEON AVE NE @Multiple,33.77469,-84.36561
135 ANDREW YOUNG INTERNA BLVD NE,33.75956,-84.38365
3207 BOULDER PARK DR SW,33.75103,-84.48831
1090 REDFORD DR SE,33.68698,-84.35539
2039 METROPOLITAN PKWY SW,33.70015,-84.40818
1056  AUSTIN,33.76271,-84.3527
64 PEACHTREE ST.,33.75254,-84.39101
3725 PRINCETON LAKES PKWY SW,33.65769,-84.50853
3084 DAWSON LN SW,33.66983,-84.50942
2520 DONALD LEE HOLLOWELL PKWY NW,33.77544,-84.46828
2202 BOLTON DR NW,33.81611,-84.44229
4020 WHITEWATER CREEK RD NW,33.87409,-84.44447
PRYOR RD @ RIDGE AVE,33.72779,-84.39268
4629 WIEUCA RD.,33.87457,-84.38099
410 PINE ST NE,33.76789,-84.37396
930 OAKHILL AVE SW,33.72984,-84.40914
2839 ALLEGRO DR NW,33.7748,-84.4806
1937 NORTH AVE NW,33.76871,-84.45099
WHITE ST/ LAWTON ST,33.73976,-84.43274
375 SIMPSON TER NW,33.76544,-84.44701
223 PONCE DE LEON AVE NE,33.77224,-84.3801
I-20 WB EXPY NW / I-285 NB RAMP NW,33.76491,-84.49314
1466 AVON AVE SW,33.72237,-84.43597
219 MITCHELL ST SW,33.75206,-84.39486
1353 GRANT ST SE,33.71775,-84.3775
3 JOSEPH E LOWERY BLVD SW,33.75472,-84.41755
546 ROCKWELL ST SW ,33.73192,-84.40559
3RD ST NW / SPRING ST NW,33.77393,-84.38883
CASCADE RD SW / BOULEVARD GRANADA SW,33.72212,-84.46421
2965 BENJAMIN E MAYS DR SW,33.73217,-84.48436
3602 BROWNS MILL RD SE,33.65817,-84.38769
1198 HOWELL MILL RD NW,33.78825,-84.41174
1492 PIEDMONTAVE NE,33.79551,-84.37067
2525 PIEDMONT RD NE @HOME DEPOT,33.8245,-84.366
2204 PEACHTREE RD NW,33.8145,-84.39205
2850 ALEXANDRIA DR SW,33.67674,-84.51417
15 GOULD ST SE,33.70648,-84.37788
2900 CAMPBELLTON RD SW,33.69655,-84.48597
2782 OLDKNOW DR NW,33.77154,-84.47906
708 ARGONNE AVE NE,33.77396,-84.37779
201 WASHINGTON ST SW,33.74983,-84.38905
161 SPRING ST NW,33.75882,-84.38989
981 REBEL FOREST DR SE,33.68766,-84.35819
2084 MOREHOUSE DR.,33.7613,-84.45604
1172 LA VISTA RD NE,33.8173,-84.34989
156 BOULEVARD AVE,33.75854,-84.3722
1033 HEMPHILL AVENUE NW,33.78299,-84.40477
701 GREENWOOD AVE NE,33.77662,-84.3643
3787 MARTIN L KING JR DR NW,33.7684,-84.51165
869 BRAEMAR AVE SW,33.73184,-84.49566
824 JUNIPER STREET NE,33.77704,-84.38311
2425 PERKERSON RD SW,33.68813,-84.41099
349 PEACHTREE HILLS AVE NE,33.81646,-84.3758
4703 SANTA FE TRL SW,33.69199,-84.54164
1125 CUSTER AVE SE,33.71495,-84.35166
2429 MACON DR SW,33.68781,-84.3903
3626 BARROW PL SW,33.68421,-84.50726
717 WOODWARD AVE SE,33.74526,-84.3639
1638 W LAKE CT NW,33.75898,-84.4424
1336 WICHITA DR SW,33.71947,-84.44185
730 9TH ST ,33.77477,-84.47366
689 WHITEHALL ST SW,33.74171,-84.41048
1459 OAKLAND DR SW,33.71548,-84.4276
633 WAYNES CT SE,33.67166,-84.36788
281 ALASKA AVE NE,33.76202,-84.36252
336 WOOD ST SE,33.74658,-84.37263
1959 METROPOLITAN PKWY SW ,33.70286,-84.40807
1306 HILL ST SE,33.71875,-84.37852
824 DONALD LEE HOLLOWELL PKWY NW,33.77282,-84.41423
600 GREENSFERRY ,33.74662,-84.40755
1001 SMITH ST SW,33.72742,-84.401
101 MARIETTA ST NW,33.75708,-84.39185
3288 WELMINGHAM DR SW,33.66174,-84.51858
2312 SWALLOW CIR SE,33.69476,-84.38823
210 PEACHTREE ST NW,33.75943,-84.38837
333 ANGIER AVE NE,33.76659,-84.37678
264 BANBERRY DR SE,33.68826,-84.38084
609 CASCADE AVE SW,33.73894,-84.43461
1700 HOWELL MILL RD NW,33.80076,-84.41623
868 ARGONNE AVE NE,33.77831,-84.37788
2511 OLDKNOW DR NW,33.77191,-84.46969
1522 EZRA CHURCH DR NW,33.75637,-84.43722
233 PETERS ST SW,33.74844,-84.40102
382 YONKERS AVE NW,33.76555,-84.4548
222 TUSKEGEE ST SE,33.72959,-84.38067
89 LUCKIE ST NW,33.75738,-84.3893
880 GLENWOOD AVE SE,33.73991,-84.35917
2176 DONALD LEE HOLLOWELL PKWY,33.77548,-84.4574
844 REGINA DR NW,33.77648,-84.47302
89 WOODWARD AVE SE,33.74555,-84.38495
2672 OLD HAPEVILLE RD SW @APS CLEVELAND ES,33.68273,-84.39258
135 WALTON ST NW,33.75812,-84.39226
1668 EASTLAND RD SE         ,33.71898,-84.33038
744 SPRING ST NW,33.77478,-84.38893
1976 FLAT SHOALS RD SE,33.72669,-84.32278
125 ARCADIA CIR NW,33.75886,-84.42738
1124 CENTER ST NW,33.78554,-84.40303
1978 BROWNS MILL RD SE;,33.69994,-84.37486
1342 HILL ST SE,33.71761,-84.37855
1778 BONN ST SE,33.70572,-84.38467
432 LOVEJOY ST NW,33.76634,-84.39315
1314 LA FRANCE ST NE,33.76057,-84.34478
486 AMAL DR SW,33.70895,-84.40146
1751 CAMPBELLTON RD SW,33.71167,-84.44491
130 TRINITY AVE SW,33.7485,-84.39199
900 NEW TOWN CIR SE,33.70655,-84.3633
1037 RALPH D ABERNATHY BLVD SW,33.73843,-84.42181
1483 ARTHUR LANGFORD JR PL SE,33.71408,-84.39805
142 JOSEPH E LOWERY BLVD SW,33.75088,-84.41734
3550 SOUTHSIDE INDUSTRIAL PKWY SE,33.65724,-84.37388
428 MAYNARD TER SE,33.74218,-84.33459
2874 DEARWOOD DR SW,33.67668,-84.4045
832 MITCHELL ST SW,33.75325,-84.4148
287 10TH ST NE,33.78154,-84.37779
856 DRUMMOND ST SW,33.75267,-84.41565
1441 ELLSWORTH INDUSTRIAL BLVD NW,33.79499,-84.42576
2608 HABERSHAM RD NW,33.82561,-84.3944
300 E LAKE BLVD,33.744,-84.31378
842 PEACHTREE ST NW,33.77756,-84.38482
216 BURBANK DR NW,33.76097,-84.42951
75 PONCE DE LEON AVE NE,33.77199,-84.3844
2535 MACON DR SW,33.68522,-84.38907
1683 ABNER CT NW,33.80205,-84.46678
3179 PEACHTREE RD NE @MOONDOGS,33.84103,-84.37544
